Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
blood,MPI_PSO,RING,REMOVE,RANDOM,BEST,5,2,SSE,2,43.91,37.67
pathbased,MPI_PSO,RING,REMOVE,RANDOM,BEST,5,2,SSE,3,16.3,8.56
smiley,MPI_PSO,RING,REMOVE,RANDOM,BEST,5,2,SSE,4,27.3,12.08
vary-density,MPI_PSO,RING,REMOVE,RANDOM,BEST,5,2,SSE,3,8.36,2.48
wine,MPI_PSO,RING,REMOVE,RANDOM,BEST,5,2,SSE,3,10.65,63.8
balance,MPI_PSO,TREE,CLONE,RANDOM,WORST,5,1,SSE,3,37.34,139.41
blood,MPI_PSO,TREE,CLONE,RANDOM,WORST,5,1,SSE,2,47.89,37.23
pathbased,MPI_PSO,TREE,CLONE,RANDOM,WORST,5,1,SSE,3,17.11,8.6
smiley,MPI_PSO,TREE,CLONE,RANDOM,WORST,5,1,SSE,4,29.57,12.1
vary-density,MPI_PSO,TREE,CLONE,RANDOM,WORST,5,1,SSE,3,9.36,2.48
wine,MPI_PSO,TREE,CLONE,RANDOM,WORST,5,1,SSE,3,11.28,57.78
balance,MPI_PSO,NETA,CLONE,WORST,BEST,5,1,SSE,3,38.02,139.31
blood,MPI_PSO,NETA,CLONE,WORST,BEST,5,1,SSE,2,47.2,37.01
pathbased,MPI_PSO,NETA,CLONE,WORST,BEST,5,1,SSE,3,17.69,8.56
smiley,MPI_PSO,NETA,CLONE,WORST,BEST,5,1,SSE,4,28.5,11.8
vary-density,MPI_PSO,NETA,CLONE,WORST,BEST,5,1,SSE,3,8.94,2.48
wine,MPI_PSO,NETA,CLONE,WORST,BEST,5,1,SSE,3,11.29,52.78
balance,MPI_PSO,NETB,CLONE,WORST,WORST,5,1,SSE,3,37.78,139.29
blood,MPI_PSO,NETB,CLONE,WORST,WORST,5,1,SSE,2,48.53,37.21
pathbased,MPI_PSO,NETB,CLONE,WORST,WORST,5,1,SSE,3,18.17,8.56
smiley,MPI_PSO,NETB,CLONE,WORST,WORST,5,1,SSE,4,28.63,11.81
vary-density,MPI_PSO,NETB,CLONE,WORST,WORST,5,1,SSE,3,8.92,2.48
wine,MPI_PSO,NETB,CLONE,WORST,WORST,5,1,SSE,3,11.31,50.66
balance,MPI_PSO,TORUS,CLONE,WORST,BEST,3,1,SSE,3,40.33,139.3
blood,MPI_PSO,TORUS,CLONE,WORST,BEST,3,1,SSE,2,46.65,37.01
pathbased,MPI_PSO,TORUS,CLONE,WORST,BEST,3,1,SSE,3,18.19,8.56
smiley,MPI_PSO,TORUS,CLONE,WORST,BEST,3,1,SSE,4,28.4,11.72
vary-density,MPI_PSO,TORUS,CLONE,WORST,BEST,3,1,SSE,3,9.42,2.48
wine,MPI_PSO,TORUS,CLONE,WORST,BEST,3,1,SSE,3,11.05,52.09
balance,MPI_PSO,GRAPH,CLONE,RANDOM,BEST,4,1,SSE,3,38.88,139.37
blood,MPI_PSO,GRAPH,CLONE,RANDOM,BEST,4,1,SSE,2,45.51,38.4
pathbased,MPI_PSO,GRAPH,CLONE,RANDOM,BEST,4,1,SSE,3,17.92,8.59
smiley,MPI_PSO,GRAPH,CLONE,RANDOM,BEST,4,1,SSE,4,30.11,11.84
vary-density,MPI_PSO,GRAPH,CLONE,RANDOM,BEST,4,1,SSE,3,9.2,2.48
wine,MPI_PSO,GRAPH,CLONE,RANDOM,BEST,4,1,SSE,3,11.43,57.31
balance,MPI_PSO,SAME,REMOVE,RANDOM,BEST,3,2,SSE,3,32.3,141.0
blood,MPI_PSO,SAME,REMOVE,RANDOM,BEST,3,2,SSE,2,42.31,72.65
pathbased,MPI_PSO,SAME,REMOVE,RANDOM,BEST,3,2,SSE,3,14.05,9.01
smiley,MPI_PSO,SAME,REMOVE,RANDOM,BEST,3,2,SSE,4,18.13,12.88
vary-density,MPI_PSO,SAME,REMOVE,RANDOM,BEST,3,2,SSE,3,6.75,3.26
wine,MPI_PSO,SAME,REMOVE,RANDOM,BEST,3,2,SSE,3,8.49,78.7
balance,MPI_PSO,GOODBAD,REMOVE,RANDOM,BEST,2,1,SSE,3,27.42,141.16
blood,MPI_PSO,GOODBAD,REMOVE,RANDOM,BEST,2,1,SSE,2,34.03,70.95
pathbased,MPI_PSO,GOODBAD,REMOVE,RANDOM,BEST,2,1,SSE,3,12.51,8.72
smiley,MPI_PSO,GOODBAD,REMOVE,RANDOM,BEST,2,1,SSE,4,21.09,12.9
vary-density,MPI_PSO,GOODBAD,REMOVE,RANDOM,BEST,2,1,SSE,3,6.62,2.9
wine,MPI_PSO,GOODBAD,REMOVE,RANDOM,BEST,2,1,SSE,3,9.08,80.17
balance,MPI_PSO,RAND,CLONE,RANDOM,BEST,1,10,SSE,3,25.9,141.42
blood,MPI_PSO,RAND,CLONE,RANDOM,BEST,1,10,SSE,2,32.86,71.41
pathbased,MPI_PSO,RAND,CLONE,RANDOM,BEST,1,10,SSE,3,14.46,9.01
smiley,MPI_PSO,RAND,CLONE,RANDOM,BEST,1,10,SSE,4,22.67,12.97
vary-density,MPI_PSO,RAND,CLONE,RANDOM,BEST,1,10,SSE,3,6.95,3.1
wine,MPI_PSO,RAND,CLONE,RANDOM,BEST,1,10,SSE,3,7.26,81.39
balance,MPI_GA,RING,CLONE,BEST,BEST,5,1,SSE,3,37.4,139.7
blood,MPI_GA,RING,CLONE,BEST,BEST,5,1,SSE,2,51.62,36.94
pathbased,MPI_GA,RING,CLONE,BEST,BEST,5,1,SSE,3,17.59,8.58
smiley,MPI_GA,RING,CLONE,BEST,BEST,5,1,SSE,4,29.31,11.78
vary-density,MPI_GA,RING,CLONE,BEST,BEST,5,1,SSE,3,8.8,2.48
wine,MPI_GA,RING,CLONE,BEST,BEST,5,1,SSE,3,11.09,35.13
balance,MPI_GA,TREE,CLONE,BEST,WORST,4,1,SSE,3,37.91,139.32
blood,MPI_GA,TREE,CLONE,BEST,WORST,4,1,SSE,2,50.89,36.87
pathbased,MPI_GA,TREE,CLONE,BEST,WORST,4,1,SSE,3,17.59,8.56
smiley,MPI_GA,TREE,CLONE,BEST,WORST,4,1,SSE,4,29.69,11.78
vary-density,MPI_GA,TREE,CLONE,BEST,WORST,4,1,SSE,3,8.86,2.48
wine,MPI_GA,TREE,CLONE,BEST,WORST,4,1,SSE,3,11.33,33.32
balance,MPI_GA,NETA,CLONE,BEST,BEST,4,1,SSE,3,37.86,139.38
blood,MPI_GA,NETA,CLONE,BEST,BEST,4,1,SSE,2,48.06,36.86
pathbased,MPI_GA,NETA,CLONE,BEST,BEST,4,1,SSE,3,17.52,8.56
smiley,MPI_GA,NETA,CLONE,BEST,BEST,4,1,SSE,4,30.98,11.8
vary-density,MPI_GA,NETA,CLONE,BEST,BEST,4,1,SSE,3,9.44,2.48
wine,MPI_GA,NETA,CLONE,BEST,BEST,4,1,SSE,3,11.11,31.6
balance,MPI_GA,NETB,CLONE,WORST,BEST,3,1,SSE,3,37.12,139.38
blood,MPI_GA,NETB,CLONE,WORST,BEST,3,1,SSE,2,47.07,36.87
pathbased,MPI_GA,NETB,CLONE,WORST,BEST,3,1,SSE,3,17.79,8.56
smiley,MPI_GA,NETB,CLONE,WORST,BEST,3,1,SSE,4,28.93,11.79
vary-density,MPI_GA,NETB,CLONE,WORST,BEST,3,1,SSE,3,9.31,2.48
wine,MPI_GA,NETB,CLONE,WORST,BEST,3,1,SSE,3,10.96,33.69
balance,MPI_GA,TORUS,CLONE,WORST,WORST,4,1,SSE,3,36.67,139.37
blood,MPI_GA,TORUS,CLONE,WORST,WORST,4,1,SSE,2,47.74,36.85
pathbased,MPI_GA,TORUS,CLONE,WORST,WORST,4,1,SSE,3,18.0,8.56
smiley,MPI_GA,TORUS,CLONE,WORST,WORST,4,1,SSE,4,29.83,11.79
vary-density,MPI_GA,TORUS,CLONE,WORST,WORST,4,1,SSE,3,9.04,2.48
wine,MPI_GA,TORUS,CLONE,WORST,WORST,4,1,SSE,3,11.21,32.88
balance,MPI_GA,GRAPH,CLONE,WORST,RANDOM,1,1,SSE,3,38.1,139.51
blood,MPI_GA,GRAPH,CLONE,WORST,RANDOM,1,1,SSE,2,50.43,36.85
pathbased,MPI_GA,GRAPH,CLONE,WORST,RANDOM,1,1,SSE,3,17.74,8.56
smiley,MPI_GA,GRAPH,CLONE,WORST,RANDOM,1,1,SSE,4,28.26,11.78
vary-density,MPI_GA,GRAPH,CLONE,WORST,RANDOM,1,1,SSE,3,9.39,2.48
wine,MPI_GA,GRAPH,CLONE,WORST,RANDOM,1,1,SSE,3,10.75,31.54
balance,MPI_GA,SAME,CLONE,BEST,RANDOM,3,8,SSE,3,29.6,145.09
blood,MPI_GA,SAME,CLONE,BEST,RANDOM,3,8,SSE,2,33.33,48.33
pathbased,MPI_GA,SAME,CLONE,BEST,RANDOM,3,8,SSE,3,12.46,9.64
smiley,MPI_GA,SAME,CLONE,BEST,RANDOM,3,8,SSE,4,19.36,14.51
vary-density,MPI_GA,SAME,CLONE,BEST,RANDOM,3,8,SSE,3,7.34,3.45
wine,MPI_GA,SAME,CLONE,BEST,RANDOM,3,8,SSE,3,7.81,93.35
balance,MPI_GA,GOODBAD,REMOVE,RANDOM,WORST,4,4,SSE,3,25.47,144.76
blood,MPI_GA,GOODBAD,REMOVE,RANDOM,WORST,4,4,SSE,2,36.93,51.81
pathbased,MPI_GA,GOODBAD,REMOVE,RANDOM,WORST,4,4,SSE,3,13.17,9.51
smiley,MPI_GA,GOODBAD,REMOVE,RANDOM,WORST,4,4,SSE,4,22.17,14.52
vary-density,MPI_GA,GOODBAD,REMOVE,RANDOM,WORST,4,4,SSE,3,5.38,3.28
wine,MPI_GA,GOODBAD,REMOVE,RANDOM,WORST,4,4,SSE,3,8.35,95.39
balance,MPI_GA,RAND,CLONE,BEST,BEST,1,2,SSE,3,33.7,144.85
blood,MPI_GA,RAND,CLONE,BEST,BEST,1,2,SSE,2,39.97,49.19
pathbased,MPI_GA,RAND,CLONE,BEST,BEST,1,2,SSE,3,13.61,9.72
smiley,MPI_GA,RAND,CLONE,BEST,BEST,1,2,SSE,4,20.42,14.48
vary-density,MPI_GA,RAND,CLONE,BEST,BEST,1,2,SSE,3,6.67,3.36
wine,MPI_GA,RAND,CLONE,BEST,BEST,1,2,SSE,3,9.44,93.91
balance,MPI_BAT,RING,CLONE,BEST,WORST,2,1,SSE,3,35.4,141.31
blood,MPI_BAT,RING,CLONE,BEST,WORST,2,1,SSE,2,44.91,73.8
pathbased,MPI_BAT,RING,CLONE,BEST,WORST,2,1,SSE,3,16.81,9.52
smiley,MPI_BAT,RING,CLONE,BEST,WORST,2,1,SSE,4,27.18,12.56
vary-density,MPI_BAT,RING,CLONE,BEST,WORST,2,1,SSE,3,9.06,3.9
wine,MPI_BAT,RING,CLONE,BEST,WORST,2,1,SSE,3,10.43,72.95
balance,MPI_BAT,TREE,REMOVE,WORST,RANDOM,5,1,SSE,3,36.43,141.57
blood,MPI_BAT,TREE,REMOVE,WORST,RANDOM,5,1,SSE,2,49.78,73.85
pathbased,MPI_BAT,TREE,REMOVE,WORST,RANDOM,5,1,SSE,3,17.1,9.6
smiley,MPI_BAT,TREE,REMOVE,WORST,RANDOM,5,1,SSE,4,27.58,12.63
vary-density,MPI_BAT,TREE,REMOVE,WORST,RANDOM,5,1,SSE,3,8.8,3.89
wine,MPI_BAT,TREE,REMOVE,WORST,RANDOM,5,1,SSE,3,10.36,73.05
balance,MPI_BAT,NETA,REMOVE,RANDOM,RANDOM,4,4,SSE,3,35.09,141.37
blood,MPI_BAT,NETA,REMOVE,RANDOM,RANDOM,4,4,SSE,2,43.36,74.17
pathbased,MPI_BAT,NETA,REMOVE,RANDOM,RANDOM,4,4,SSE,3,15.79,9.38
smiley,MPI_BAT,NETA,REMOVE,RANDOM,RANDOM,4,4,SSE,4,25.66,12.78
vary-density,MPI_BAT,NETA,REMOVE,RANDOM,RANDOM,4,4,SSE,3,8.57,3.91
wine,MPI_BAT,NETA,REMOVE,RANDOM,RANDOM,4,4,SSE,3,10.06,71.44
balance,MPI_BAT,NETB,REMOVE,WORST,BEST,3,8,SSE,3,36.26,141.64
blood,MPI_BAT,NETB,REMOVE,WORST,BEST,3,8,SSE,2,46.79,74.65
pathbased,MPI_BAT,NETB,REMOVE,WORST,BEST,3,8,SSE,3,16.79,9.22
smiley,MPI_BAT,NETB,REMOVE,WORST,BEST,3,8,SSE,4,26.42,12.63
vary-density,MPI_BAT,NETB,REMOVE,WORST,BEST,3,8,SSE,3,8.38,3.91
wine,MPI_BAT,NETB,REMOVE,WORST,BEST,3,8,SSE,3,10.75,69.7
balance,MPI_BAT,TORUS,REMOVE,RANDOM,RANDOM,4,6,SSE,3,34.99,141.49
blood,MPI_BAT,TORUS,REMOVE,RANDOM,RANDOM,4,6,SSE,2,44.92,73.3
pathbased,MPI_BAT,TORUS,REMOVE,RANDOM,RANDOM,4,6,SSE,3,16.64,9.23
smiley,MPI_BAT,TORUS,REMOVE,RANDOM,RANDOM,4,6,SSE,4,26.36,12.65
vary-density,MPI_BAT,TORUS,REMOVE,RANDOM,RANDOM,4,6,SSE,3,8.68,3.89
wine,MPI_BAT,TORUS,REMOVE,RANDOM,RANDOM,4,6,SSE,3,10.22,82.04
balance,MPI_BAT,GRAPH,CLONE,WORST,WORST,5,1,SSE,3,36.24,141.11
blood,MPI_BAT,GRAPH,CLONE,WORST,WORST,5,1,SSE,2,48.39,74.19
pathbased,MPI_BAT,GRAPH,CLONE,WORST,WORST,5,1,SSE,3,16.79,9.26
smiley,MPI_BAT,GRAPH,CLONE,WORST,WORST,5,1,SSE,4,28.16,12.64
vary-density,MPI_BAT,GRAPH,CLONE,WORST,WORST,5,1,SSE,3,8.88,3.87
wine,MPI_BAT,GRAPH,CLONE,WORST,WORST,5,1,SSE,3,10.25,74.73
balance,MPI_BAT,SAME,CLONE,BEST,RANDOM,2,8,SSE,3,25.4,141.56
blood,MPI_BAT,SAME,CLONE,BEST,RANDOM,2,8,SSE,2,29.82,73.86
pathbased,MPI_BAT,SAME,CLONE,BEST,RANDOM,2,8,SSE,3,12.84,9.39
smiley,MPI_BAT,SAME,CLONE,BEST,RANDOM,2,8,SSE,4,22.38,12.87
vary-density,MPI_BAT,SAME,CLONE,BEST,RANDOM,2,8,SSE,3,6.34,3.9
wine,MPI_BAT,SAME,CLONE,BEST,RANDOM,2,8,SSE,3,6.51,72.56
balance,MPI_BAT,GOODBAD,REMOVE,RANDOM,RANDOM,4,2,SSE,3,26.76,141.4
blood,MPI_BAT,GOODBAD,REMOVE,RANDOM,RANDOM,4,2,SSE,2,32.63,74.71
pathbased,MPI_BAT,GOODBAD,REMOVE,RANDOM,RANDOM,4,2,SSE,3,13.72,9.3
smiley,MPI_BAT,GOODBAD,REMOVE,RANDOM,RANDOM,4,2,SSE,4,23.73,12.64
vary-density,MPI_BAT,GOODBAD,REMOVE,RANDOM,RANDOM,4,2,SSE,3,7.72,3.87
wine,MPI_BAT,GOODBAD,REMOVE,RANDOM,RANDOM,4,2,SSE,3,6.95,71.27
balance,MPI_BAT,RAND,CLONE,BEST,RANDOM,4,6,SSE,3,23.65,141.5
blood,MPI_BAT,RAND,CLONE,BEST,RANDOM,4,6,SSE,2,32.81,74.04
pathbased,MPI_BAT,RAND,CLONE,BEST,RANDOM,4,6,SSE,3,13.04,9.42
smiley,MPI_BAT,RAND,CLONE,BEST,RANDOM,4,6,SSE,4,16.25,12.58
vary-density,MPI_BAT,RAND,CLONE,BEST,RANDOM,4,6,SSE,3,7.02,3.88
wine,MPI_BAT,RAND,CLONE,BEST,RANDOM,4,6,SSE,3,6.61,70.99
balance,MPI_FFA,RING,CLONE,WORST,RANDOM,5,2,SSE,3,39.48,138.9
blood,MPI_FFA,RING,CLONE,WORST,RANDOM,5,2,SSE,2,46.16,36.8
pathbased,MPI_FFA,RING,CLONE,WORST,RANDOM,5,2,SSE,3,18.01,12.54
smiley,MPI_FFA,RING,CLONE,WORST,RANDOM,5,2,SSE,4,29.4,11.71
vary-density,MPI_FFA,RING,CLONE,WORST,RANDOM,5,2,SSE,3,10.29,4.06
wine,MPI_FFA,RING,CLONE,WORST,RANDOM,5,2,SSE,3,12.26,32.63
balance,MPI_FFA,TREE,CLONE,WORST,RANDOM,2,1,SSE,3,37.54,138.9
blood,MPI_FFA,TREE,CLONE,WORST,RANDOM,2,1,SSE,2,49.46,36.8
pathbased,MPI_FFA,TREE,CLONE,WORST,RANDOM,2,1,SSE,3,19.73,8.56
smiley,MPI_FFA,TREE,CLONE,WORST,RANDOM,2,1,SSE,4,31.72,11.71
vary-density,MPI_FFA,TREE,CLONE,WORST,RANDOM,2,1,SSE,3,10.79,2.48
wine,MPI_FFA,TREE,CLONE,WORST,RANDOM,2,1,SSE,3,12.67,29.41
balance,MPI_FFA,NETA,CLONE,WORST,RANDOM,5,2,SSE,3,39.94,138.89
blood,MPI_FFA,NETA,CLONE,WORST,RANDOM,5,2,SSE,2,48.12,36.8
pathbased,MPI_FFA,NETA,CLONE,WORST,RANDOM,5,2,SSE,3,19.47,8.56
smiley,MPI_FFA,NETA,CLONE,WORST,RANDOM,5,2,SSE,4,30.39,11.71
vary-density,MPI_FFA,NETA,CLONE,WORST,RANDOM,5,2,SSE,3,10.74,2.48
wine,MPI_FFA,NETA,CLONE,WORST,RANDOM,5,2,SSE,3,13.08,28.45
balance,MPI_FFA,NETB,REMOVE,RANDOM,WORST,5,2,SSE,3,40.04,138.9
blood,MPI_FFA,NETB,REMOVE,RANDOM,WORST,5,2,SSE,2,49.47,36.8
pathbased,MPI_FFA,NETB,REMOVE,RANDOM,WORST,5,2,SSE,3,20.09,12.54
smiley,MPI_FFA,NETB,REMOVE,RANDOM,WORST,5,2,SSE,4,32.21,11.71
vary-density,MPI_FFA,NETB,REMOVE,RANDOM,WORST,5,2,SSE,3,11.27,9.76
wine,MPI_FFA,NETB,REMOVE,RANDOM,WORST,5,2,SSE,3,12.57,28.86
balance,MPI_FFA,TORUS,CLONE,RANDOM,RANDOM,5,2,SSE,3,38.72,138.9
blood,MPI_FFA,TORUS,CLONE,RANDOM,RANDOM,5,2,SSE,2,49.53,36.8
pathbased,MPI_FFA,TORUS,CLONE,RANDOM,RANDOM,5,2,SSE,3,18.93,8.56
smiley,MPI_FFA,TORUS,CLONE,RANDOM,RANDOM,5,2,SSE,4,32.23,21.55
vary-density,MPI_FFA,TORUS,CLONE,RANDOM,RANDOM,5,2,SSE,3,10.91,2.48
wine,MPI_FFA,TORUS,CLONE,RANDOM,RANDOM,5,2,SSE,3,12.81,28.44
balance,MPI_FFA,GRAPH,CLONE,RANDOM,RANDOM,5,1,SSE,3,39.03,138.91
blood,MPI_FFA,GRAPH,CLONE,RANDOM,RANDOM,5,1,SSE,2,49.88,36.8
pathbased,MPI_FFA,GRAPH,CLONE,RANDOM,RANDOM,5,1,SSE,3,18.71,8.56
smiley,MPI_FFA,GRAPH,CLONE,RANDOM,RANDOM,5,1,SSE,4,31.66,11.71
vary-density,MPI_FFA,GRAPH,CLONE,RANDOM,RANDOM,5,1,SSE,3,10.99,2.48
wine,MPI_FFA,GRAPH,CLONE,RANDOM,RANDOM,5,1,SSE,3,13.22,29.98
balance,MPI_FFA,SAME,CLONE,BEST,RANDOM,3,2,SSE,3,23.96,141.55
blood,MPI_FFA,SAME,CLONE,BEST,RANDOM,3,2,SSE,2,37.06,73.66
pathbased,MPI_FFA,SAME,CLONE,BEST,RANDOM,3,2,SSE,3,15.38,9.25
smiley,MPI_FFA,SAME,CLONE,BEST,RANDOM,3,2,SSE,4,24.16,12.61
vary-density,MPI_FFA,SAME,CLONE,BEST,RANDOM,3,2,SSE,3,7.51,4.01
wine,MPI_FFA,SAME,CLONE,BEST,RANDOM,3,2,SSE,3,9.68,70.15
balance,MPI_FFA,GOODBAD,REMOVE,RANDOM,WORST,5,1,SSE,3,26.67,141.55
blood,MPI_FFA,GOODBAD,REMOVE,RANDOM,WORST,5,1,SSE,2,43.55,73.66
pathbased,MPI_FFA,GOODBAD,REMOVE,RANDOM,WORST,5,1,SSE,3,13.17,9.25
smiley,MPI_FFA,GOODBAD,REMOVE,RANDOM,WORST,5,1,SSE,4,24.44,12.61
vary-density,MPI_FFA,GOODBAD,REMOVE,RANDOM,WORST,5,1,SSE,3,8.34,4.01
wine,MPI_FFA,GOODBAD,REMOVE,RANDOM,WORST,5,1,SSE,3,11.06,70.15
balance,MPI_FFA,RAND,CLONE,BEST,RANDOM,1,2,SSE,3,32.5,141.55
blood,MPI_FFA,RAND,CLONE,BEST,RANDOM,1,2,SSE,2,36.19,73.66
pathbased,MPI_FFA,RAND,CLONE,BEST,RANDOM,1,2,SSE,3,15.38,9.25
smiley,MPI_FFA,RAND,CLONE,BEST,RANDOM,1,2,SSE,4,25.07,12.61
vary-density,MPI_FFA,RAND,CLONE,BEST,RANDOM,1,2,SSE,3,8.62,4.01
wine,MPI_FFA,RAND,CLONE,BEST,RANDOM,1,2,SSE,3,8.88,70.15
balance,MPI_GWO,RING,CLONE,BEST,WORST,5,1,SSE,3,38.44,139.06
blood,MPI_GWO,RING,CLONE,BEST,WORST,5,1,SSE,2,47.76,36.81
pathbased,MPI_GWO,RING,CLONE,BEST,WORST,5,1,SSE,3,17.98,8.57
smiley,MPI_GWO,RING,CLONE,BEST,WORST,5,1,SSE,4,29.5,11.73
vary-density,MPI_GWO,RING,CLONE,BEST,WORST,5,1,SSE,3,9.41,2.48
wine,MPI_GWO,RING,CLONE,BEST,WORST,5,1,SSE,3,11.09,27.99
balance,MPI_GWO,TREE,CLONE,WORST,WORST,5,1,SSE,3,38.0,139.02
blood,MPI_GWO,TREE,CLONE,WORST,WORST,5,1,SSE,2,46.08,36.81
pathbased,MPI_GWO,TREE,CLONE,WORST,WORST,5,1,SSE,3,17.76,8.57
smiley,MPI_GWO,TREE,CLONE,WORST,WORST,5,1,SSE,4,30.48,11.73
vary-density,MPI_GWO,TREE,CLONE,WORST,WORST,5,1,SSE,3,8.99,2.48
wine,MPI_GWO,TREE,CLONE,WORST,WORST,5,1,SSE,3,11.33,27.58
balance,MPI_GWO,NETA,CLONE,WORST,BEST,5,1,SSE,3,38.47,138.99
