Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
balance,MPI_SSA,RING,CLONE,WORST,BEST,5,2,SSE,3,37.88,138.95
blood,MPI_SSA,RING,CLONE,WORST,BEST,5,2,SSE,2,48.46,36.8
pathbased,MPI_SSA,RING,CLONE,WORST,BEST,5,2,SSE,3,17.74,8.56
smiley,MPI_SSA,RING,CLONE,WORST,BEST,5,2,SSE,4,30.0,11.72
vary-density,MPI_SSA,RING,CLONE,WORST,BEST,5,2,SSE,3,9.04,2.48
wine,MPI_SSA,RING,CLONE,WORST,BEST,5,2,SSE,3,11.44,29.97
balance,MPI_SSA,TREE,CLONE,BEST,WORST,5,1,SSE,3,37.49,138.95
blood,MPI_SSA,TREE,CLONE,BEST,WORST,5,1,SSE,2,46.19,36.8
pathbased,MPI_SSA,TREE,CLONE,BEST,WORST,5,1,SSE,3,18.74,8.56
smiley,MPI_SSA,TREE,CLONE,BEST,WORST,5,1,SSE,4,28.51,11.72
vary-density,MPI_SSA,TREE,CLONE,BEST,WORST,5,1,SSE,3,9.25,2.48
wine,MPI_SSA,TREE,CLONE,BEST,WORST,5,1,SSE,3,11.31,28.06
balance,MPI_SSA,NETA,CLONE,WORST,BEST,5,1,SSE,3,37.37,138.9
blood,MPI_SSA,NETA,CLONE,WORST,BEST,5,1,SSE,2,48.16,36.8
pathbased,MPI_SSA,NETA,CLONE,WORST,BEST,5,1,SSE,3,17.17,8.56
smiley,MPI_SSA,NETA,CLONE,WORST,BEST,5,1,SSE,4,28.99,11.71
vary-density,MPI_SSA,NETA,CLONE,WORST,BEST,5,1,SSE,3,9.3,2.48
wine,MPI_SSA,NETA,CLONE,WORST,BEST,5,1,SSE,3,11.27,27.6
balance,MPI_SSA,NETB,CLONE,WORST,BEST,4,4,SSE,3,37.62,138.94
blood,MPI_SSA,NETB,CLONE,WORST,BEST,4,4,SSE,2,48.0,36.8
pathbased,MPI_SSA,NETB,CLONE,WORST,BEST,4,4,SSE,3,17.39,8.56
smiley,MPI_SSA,NETB,CLONE,WORST,BEST,4,4,SSE,4,29.81,11.72
vary-density,MPI_SSA,NETB,CLONE,WORST,BEST,4,4,SSE,3,9.11,2.48
wine,MPI_SSA,NETB,CLONE,WORST,BEST,4,4,SSE,3,11.17,28.26
balance,MPI_SSA,TORUS,CLONE,WORST,WORST,5,1,SSE,3,38.08,138.91
blood,MPI_SSA,TORUS,CLONE,WORST,WORST,5,1,SSE,2,50.16,36.8
pathbased,MPI_SSA,TORUS,CLONE,WORST,WORST,5,1,SSE,3,18.16,8.56
smiley,MPI_SSA,TORUS,CLONE,WORST,WORST,5,1,SSE,4,30.9,11.71
vary-density,MPI_SSA,TORUS,CLONE,WORST,WORST,5,1,SSE,3,9.05,2.48
wine,MPI_SSA,TORUS,CLONE,WORST,WORST,5,1,SSE,3,11.79,28.31
balance,MPI_SSA,GRAPH,CLONE,BEST,RANDOM,2,4,SSE,3,38.05,139.07
blood,MPI_SSA,GRAPH,CLONE,BEST,RANDOM,2,4,SSE,2,47.41,36.8
pathbased,MPI_SSA,GRAPH,CLONE,BEST,RANDOM,2,4,SSE,3,18.24,8.56
smiley,MPI_SSA,GRAPH,CLONE,BEST,RANDOM,2,4,SSE,4,29.9,12.07
vary-density,MPI_SSA,GRAPH,CLONE,BEST,RANDOM,2,4,SSE,3,8.62,2.48
wine,MPI_SSA,GRAPH,CLONE,BEST,RANDOM,2,4,SSE,3,10.85,29.34
balance,MPI_SSA,SAME,CLONE,RANDOM,BEST,3,4,SSE,3,31.54,139.69
blood,MPI_SSA,SAME,CLONE,RANDOM,BEST,3,4,SSE,2,38.03,72.3
pathbased,MPI_SSA,SAME,CLONE,RANDOM,BEST,3,4,SSE,3,12.84,8.62
smiley,MPI_SSA,SAME,CLONE,RANDOM,BEST,3,4,SSE,4,26.27,12.56
vary-density,MPI_SSA,SAME,CLONE,RANDOM,BEST,3,4,SSE,3,7.39,3.92
wine,MPI_SSA,SAME,CLONE,RANDOM,BEST,3,4,SSE,3,9.35,55.5
balance,MPI_SSA,GOODBAD,REMOVE,RANDOM,WORST,4,8,SSE,3,29.65,139.77
blood,MPI_SSA,GOODBAD,REMOVE,RANDOM,WORST,4,8,SSE,2,41.18,73.91
pathbased,MPI_SSA,GOODBAD,REMOVE,RANDOM,WORST,4,8,SSE,3,12.99,8.62
smiley,MPI_SSA,GOODBAD,REMOVE,RANDOM,WORST,4,8,SSE,4,24.69,12.57
vary-density,MPI_SSA,GOODBAD,REMOVE,RANDOM,WORST,4,8,SSE,3,6.0,3.87
wine,MPI_SSA,GOODBAD,REMOVE,RANDOM,WORST,4,8,SSE,3,7.96,55.23
balance,MPI_SSA,RAND,REMOVE,WORST,WORST,1,1,SSE,3,24.48,139.76
blood,MPI_SSA,RAND,REMOVE,WORST,WORST,1,1,SSE,2,31.58,73.44
pathbased,MPI_SSA,RAND,REMOVE,WORST,WORST,1,1,SSE,3,14.37,8.86
smiley,MPI_SSA,RAND,REMOVE,WORST,WORST,1,1,SSE,4,19.14,12.57
vary-density,MPI_SSA,RAND,REMOVE,WORST,WORST,1,1,SSE,3,6.77,3.87
wine,MPI_SSA,RAND,REMOVE,WORST,WORST,1,1,SSE,3,9.08,55.5
balance,MPI_PSO,RING,REMOVE,RANDOM,BEST,5,2,SSE,3,35.97,140.32
