Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
balance,CS_mpi,RING,CLONE,WORST,RANDOM,4,4,SSE,3,84.63,165.8
balance,SSA_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,42.76,138.89
balance,PSO_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,42.82,138.9
balance,GA_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,43.31,139.97
balance,BAT_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,42.03,138.89
balance,FFA_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,45.04,138.89
balance,GWO_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,43.4,138.92
balance,WOA_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,43.17,139.83
balance,MVO_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,43.39,138.9
balance,MFO_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,44.35,138.92
balance,CS_mpi,RING,CLONE,RANDOM,BEST,4,4,SSE,3,84.36,140.65
balance,SSA_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,43.56,138.89
balance,PSO_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,42.84,138.91
balance,GA_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,43.13,140.14
balance,BAT_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,42.22,138.89
balance,FFA_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,45.36,138.89
balance,GWO_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,43.9,138.92
balance,WOA_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,44.29,139.97
balance,MVO_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,44.97,138.9
balance,MFO_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,43.35,138.92
balance,CS_mpi,RING,CLONE,RANDOM,WORST,4,4,SSE,3,86.95,140.49
balance,SSA_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,44.21,138.89
balance,PSO_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.28,138.96
balance,GA_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.18,140.41
balance,BAT_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,41.44,138.89
balance,FFA_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,46.28,138.89
balance,GWO_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.7,138.92
balance,WOA_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.88,139.92
balance,MVO_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.09,138.9
balance,MFO_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,43.53,138.91
balance,CS_mpi,RING,CLONE,RANDOM,RANDOM,4,4,SSE,3,86.28,140.48
balance,SSA_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,44.2,138.89
balance,PSO_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,42.7,138.91
balance,GA_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,43.74,140.12
balance,BAT_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,42.89,138.89
balance,FFA_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,45.05,138.89
balance,GWO_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,43.37,138.92
balance,WOA_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,43.61,139.87
balance,MVO_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,44.34,138.9
balance,MFO_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,44.1,138.92
balance,CS_mpi,RING,REMOVE,BEST,BEST,4,4,SSE,3,85.0,140.29
balance,SSA_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,42.77,138.89
balance,PSO_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,44.09,138.91
balance,GA_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,43.4,140.03
balance,BAT_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,41.77,138.9
balance,FFA_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,46.24,138.89
balance,GWO_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,43.46,138.92
balance,WOA_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,44.45,139.9
balance,MVO_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,43.8,138.9
balance,MFO_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,44.6,138.91
balance,CS_mpi,RING,REMOVE,BEST,WORST,4,4,SSE,3,84.81,140.51
