Dataset,Optimizer,Topology,Emigration,ChoiceEmi,ChoiceImm,NumberEmiImm,IntervalEmiImm,ObjfName,k,ExecutionTime,SSE
balance,SSA_mpi,RING,CLONE,WORST,WORST,1,1,SSE,3,39.71,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,1,2,SSE,3,41.26,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,1,4,SSE,3,40.71,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,1,6,SSE,3,41.27,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,1,8,SSE,3,42.47,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,1,10,SSE,3,41.44,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,2,1,SSE,3,39.35,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,2,2,SSE,3,39.74,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,2,4,SSE,3,40.48,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,2,6,SSE,3,41.96,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,2,8,SSE,3,42.17,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,2,10,SSE,3,43.84,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,3,1,SSE,3,42.84,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,3,2,SSE,3,41.57,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,3,4,SSE,3,45.37,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,3,6,SSE,3,44.64,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,3,8,SSE,3,39.85,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,3,10,SSE,3,40.59,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,1,SSE,3,42.55,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,2,SSE,3,43.47,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,4,SSE,3,41.76,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,6,SSE,3,44.05,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,8,SSE,3,44.05,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,4,10,SSE,3,42.18,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,5,1,SSE,3,42.41,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,5,2,SSE,3,42.02,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,5,4,SSE,3,42.45,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,5,6,SSE,3,39.92,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,5,8,SSE,3,41.7,138.89
balance,SSA_mpi,RING,CLONE,WORST,WORST,5,10,SSE,3,43.18,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,1,1,SSE,3,43.31,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,1,2,SSE,3,43.25,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,1,4,SSE,3,44.17,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,1,6,SSE,3,39.99,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,1,8,SSE,3,41.36,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,1,10,SSE,3,43.12,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,2,1,SSE,3,42.8,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,2,2,SSE,3,44.17,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,2,4,SSE,3,42.01,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,2,6,SSE,3,42.65,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,2,8,SSE,3,39.97,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,2,10,SSE,3,41.56,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,3,1,SSE,3,42.85,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,3,2,SSE,3,43.27,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,3,4,SSE,3,41.91,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,3,6,SSE,3,42.02,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,3,8,SSE,3,45.11,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,3,10,SSE,3,41.87,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,1,SSE,3,45.09,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,2,SSE,3,44.35,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,4,SSE,3,43.26,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,6,SSE,3,43.42,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,8,SSE,3,41.53,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,4,10,SSE,3,42.66,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,5,1,SSE,3,44.15,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,5,2,SSE,3,41.39,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,5,4,SSE,3,43.15,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,5,6,SSE,3,44.05,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,5,8,SSE,3,42.76,138.89
balance,SSA_mpi,TREE,CLONE,WORST,WORST,5,10,SSE,3,42.82,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,1,1,SSE,3,44.75,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,1,2,SSE,3,43.24,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,1,4,SSE,3,41.2,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,1,6,SSE,3,41.96,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,1,8,SSE,3,47.11,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,1,10,SSE,3,43.37,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,2,1,SSE,3,41.59,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,2,2,SSE,3,45.99,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,2,4,SSE,3,43.82,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,2,6,SSE,3,45.05,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,2,8,SSE,3,44.01,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,2,10,SSE,3,43.27,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,3,1,SSE,3,44.59,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,3,2,SSE,3,43.64,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,3,4,SSE,3,44.15,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,3,6,SSE,3,41.05,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,3,8,SSE,3,44.14,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,3,10,SSE,3,42.7,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,4,1,SSE,3,45.31,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,4,2,SSE,3,42.07,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,4,4,SSE,3,44.75,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,4,6,SSE,3,40.85,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,4,8,SSE,3,43.66,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,4,10,SSE,3,46.03,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,5,1,SSE,3,43.61,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,5,2,SSE,3,44.56,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,5,4,SSE,3,43.58,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,5,6,SSE,3,43.67,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,5,8,SSE,3,42.47,138.89
balance,SSA_mpi,NETA,CLONE,WORST,WORST,5,10,SSE,3,43.85,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,1,1,SSE,3,44.09,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,1,2,SSE,3,44.23,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,1,4,SSE,3,44.1,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,1,6,SSE,3,41.26,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,1,8,SSE,3,43.47,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,1,10,SSE,3,44.85,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,2,1,SSE,3,42.06,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,2,2,SSE,3,45.67,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,2,4,SSE,3,45.72,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,2,6,SSE,3,42.02,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,2,8,SSE,3,42.61,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,2,10,SSE,3,42.6,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,3,1,SSE,3,42.63,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,3,2,SSE,3,45.38,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,3,4,SSE,3,45.29,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,3,6,SSE,3,42.85,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,3,8,SSE,3,46.86,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,3,10,SSE,3,45.88,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,4,1,SSE,3,42.79,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,4,2,SSE,3,45.72,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,4,4,SSE,3,42.61,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,4,6,SSE,3,45.92,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,4,8,SSE,3,43.59,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,4,10,SSE,3,42.93,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,5,1,SSE,3,44.76,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,5,2,SSE,3,44.98,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,5,4,SSE,3,47.5,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,5,6,SSE,3,42.61,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,5,8,SSE,3,43.84,138.89
balance,SSA_mpi,NETB,CLONE,WORST,BEST,5,10,SSE,3,42.25,138.89
balance,SSA_mpi,TORUS,CLONE,BEST,WORST,1,1,SSE,3,45.23,138.89
balance,SSA_mpi,TORUS,CLONE,BEST,WORST,1,2,SSE,3,44.09,138.89
